AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,BUILD_YEAR,SALE_YEAR,BUILDTYPE_Commercial,BUILDTYPE_House,BUILDTYPE_Others
5,7.586803535162581,2.0,1.0,5,1,0,3,1,3,13922760,2008,2013,0,0,1
5,7.429520842786462,1.0,1.0,4,2,0,3,0,5,12601080,1980,2014,0,1,0
0,7.029972911706386,1.0,1.0,3,2,1,1,2,3,13383350,1981,2011,1,0,0
4,7.170888478512505,1.0,1.0,3,3,1,3,0,1,7939625,2003,2010,0,0,1
0,6.593044534142437,1.0,1.0,2,1,1,1,0,4,8848285,1972,2011,0,1,0
5,7.498869733976931,2.0,1.0,5,2,0,2,2,3,11338200,1978,2013,0,1,0
1,7.591357046698551,2.0,1.0,5,1,0,1,1,4,12872430,2000,2009,0,1,0
0,6.7661917146603505,1.0,1.0,3,3,0,2,0,4,9042050,2001,2011,0,0,1
5,7.450660796211539,1.0,1.0,4,1,1,1,2,5,14874380,1992,2012,0,0,1
6,7.470224135899966,2.0,1.0,4,1,1,0,0,0,10222380,1987,2006,0,0,1
1,7.443663683115591,1.0,1.0,4,2,0,2,0,3,12928590,2003,2009,0,0,1
3,7.656337166430183,3.0,2.0,5,1,1,2,0,3,17564820,1989,2010,1,0,0
4,7.111512116496157,1.0,1.0,3,3,0,0,2,0,4971250,1983,2010,0,1,0
6,7.4073177104694174,2.0,1.0,4,2,1,2,2,1,9170660,1998,2011,0,0,1
2,6.752270376141742,1.0,1.0,3,1,1,3,0,5,10383420,1985,2011,0,0,1
0,6.806829360392176,1.0,1.0,3,1,0,1,1,5,11601400,1969,2009,1,0,0
2,7.088408778675395,1.0,1.0,3,3,0,0,1,3,8249260,1976,2012,0,0,1
4,6.836259277277067,1.0,1.0,3,1,0,0,2,0,6944500,1993,2011,1,0,0
4,7.162397497355718,1.0,1.0,3,1,1,0,2,3,7745000,1961,2009,0,1,0
4,6.2285110035911835,1.0,1.0,2,0,1,1,0,3,5728000,1964,2010,0,1,0
3,7.820840879907344,4.0,2.0,6,0,0,2,2,4,18725520,1993,2009,1,0,0
4,6.7464121285733745,1.0,1.0,2,5,0,0,1,1,3572250,1982,2011,0,1,0
5,7.540090320145325,2.0,1.0,5,0,1,1,0,5,16051580,1985,2006,0,0,1
1,7.444248649496705,1.0,1.0,4,3,1,0,0,3,20215970,1998,2009,1,0,0
4,7.252762418053187,2.0,2.0,4,1,0,1,0,4,8379000,1982,2010,0,1,0
0,6.658011045870748,1.0,1.0,2,3,0,3,1,1,5290635,1997,2006,0,1,0
5,7.411556287811163,1.0,1.0,4,0,0,0,0,3,12548930,1980,2014,0,0,1
4,6.84587987526405,1.0,1.0,3,1,0,0,2,3,5857750,1961,2010,0,1,0
3,7.418780882750794,2.0,1.0,4,5,1,2,2,5,10729700,2007,2012,0,1,0
3,7.563200592358071,3.0,2.0,5,2,1,2,2,5,17006780,1999,2008,1,0,0
0,6.576469569048224,1.0,1.0,2,5,1,1,1,1,5570050,1977,2007,0,0,1
4,6.300785794663244,1.0,1.0,2,5,0,1,1,3,3854375,1982,2012,0,0,1
4,7.130098510125578,1.0,1.0,3,1,1,1,0,3,8594875,1973,2009,0,0,1
5,7.546446273746024,2.0,1.0,5,5,1,3,0,4,13549250,1968,2013,0,1,0
4,7.292337176173877,2.0,2.0,4,0,0,3,1,1,9480750,2006,2011,1,0,0
0,6.82001636467413,1.0,1.0,3,3,1,1,1,0,5847520,1980,2008,0,1,0
2,6.839476438228843,1.0,1.0,3,1,1,2,2,5,9710900,1986,2008,0,1,0
4,7.43307534889858,2.0,2.0,4,0,0,2,0,5,9398750,1980,2011,0,1,0
4,7.119635638017636,1.0,1.0,3,3,0,3,2,2,8806250,1972,2011,1,0,0
5,7.3632795869630385,1.0,1.0,4,5,1,2,2,3,12087330,1971,2007,0,0,1
1,7.557472901614746,2.0,1.0,5,5,1,2,0,3,14175620,1970,2011,0,0,1
1,7.3777589082278725,1.0,1.0,4,2,1,1,0,3,11920820,1991,2012,0,1,0
6,7.364547014255642,2.0,1.0,4,0,1,1,2,2,13364730,1987,2011,1,0,0
0,7.138866999945524,2.0,2.0,4,5,0,2,1,0,6922975,1983,2008,0,0,1
0,6.928537818164665,1.0,1.0,3,3,0,2,2,2,11673175,2004,2009,1,0,0
3,7.684324067681155,3.0,2.0,5,2,1,0,2,5,13069740,1988,2011,0,0,1
1,7.370860166536716,1.0,1.0,4,5,0,0,0,4,12212350,1966,2010,0,0,1
0,6.504288173536645,1.0,1.0,2,0,1,2,0,2,10283575,2005,2010,1,0,0
6,7.452402451223638,2.0,1.0,4,0,1,1,1,4,8956480,1952,2006,0,1,0
0,6.7912214627261855,1.0,1.0,3,0,1,3,2,1,7187350,1981,2011,0,1,0
0,7.1049654482698426,2.0,2.0,4,3,0,0,1,2,12574850,1977,2007,1,0,0
1,7.491087593534876,1.0,1.0,4,2,1,1,0,5,13906270,1990,2011,0,1,0
4,7.228388451573604,2.0,2.0,4,1,0,3,0,5,9917500,2003,2012,0,0,1
4,6.8001700683022,1.0,1.0,3,5,1,3,2,3,8629750,1980,2009,1,0,0
1,7.564238475170491,2.0,1.0,5,5,0,0,1,3,11667050,2001,2011,0,1,0
2,7.117205503164344,2.0,1.0,4,0,0,2,0,5,9817150,1975,2008,0,1,0
6,7.388946097618437,2.0,1.0,4,1,1,3,2,1,9263050,1967,2007,0,0,1
4,6.440946540632921,1.0,1.0,2,2,0,3,0,5,6587500,1983,2011,0,1,0
6,7.354362330421477,2.0,1.0,4,2,0,2,0,5,9799360,1977,2005,0,1,0
4,7.4342573821331355,2.0,2.0,4,3,1,3,0,1,12801500,2003,2009,1,0,0
5,7.3277805384216315,1.0,1.0,4,5,0,0,0,4,17454510,1966,2009,1,0,0
0,6.993932975223189,1.0,1.0,3,5,1,2,0,3,9832420,1980,2008,0,0,1
2,6.98933526597456,1.0,1.0,3,0,1,3,0,4,14363500,2008,2014,1,0,0
5,7.430707082545968,1.0,1.0,4,0,0,3,2,3,12476770,1996,2009,0,0,1
0,6.539585955617669,1.0,1.0,2,3,1,0,2,3,10381355,1971,2008,1,0,0
5,7.325148957955575,1.0,1.0,4,2,1,0,2,3,17600240,1971,2008,1,0,0
0,6.932447891572509,1.0,1.0,3,5,0,2,2,2,10934875,1983,2008,1,0,0
3,7.682482446534506,3.0,2.0,5,2,1,3,0,4,12372160,2002,2010,0,1,0
2,6.876264611890766,1.0,1.0,3,2,1,1,1,3,11248750,1994,2011,1,0,0
3,7.343426229147367,2.0,1.0,4,0,0,0,0,5,14241140,1981,2008,1,0,0
3,7.443663683115591,2.0,1.0,4,0,1,2,2,4,10160600,1989,2009,0,1,0
5,7.413970290190444,1.0,1.0,4,1,1,2,1,4,13539080,1995,2013,0,0,1
2,6.626717749249025,1.0,1.0,2,3,0,1,0,5,10727750,1982,2015,1,0,0
0,7.074963197966044,1.0,1.0,3,3,1,0,1,4,9867055,1990,2007,0,1,0
0,6.5998704992128365,1.0,1.0,2,1,0,2,1,3,9478710,1998,2012,1,0,0
2,6.9930151229329605,1.0,1.0,3,3,1,1,2,4,9050200,1981,2013,0,1,0
6,7.335633981927201,2.0,1.0,4,5,1,1,2,1,7904210,1952,2005,0,0,1
1,7.3914152346753585,1.0,1.0,4,2,1,1,0,4,13063450,2002,2007,0,1,0
3,7.6953031349635665,3.0,2.0,5,5,1,3,0,5,13584980,1987,2008,0,0,1
2,7.164720378771857,2.0,1.0,4,3,0,1,1,4,13116050,1975,2014,1,0,0
3,7.403061091090091,2.0,1.0,4,5,0,0,0,4,10012600,1980,2009,0,0,1
6,7.575584651557793,3.0,2.0,5,1,1,2,2,4,12105920,1964,2005,0,0,1
4,7.126890808898808,1.0,1.0,3,5,0,2,2,0,4918375,1983,2011,0,0,1
2,6.807934943699926,1.0,1.0,3,2,0,1,0,3,7703200,1976,2009,0,0,1
3,7.310550158534422,2.0,1.0,4,2,0,3,0,3,8569080,1998,2012,0,1,0
6,7.545389749611823,3.0,2.0,5,1,1,1,0,5,12146620,1969,2005,0,1,0
6,7.324489979348532,2.0,1.0,4,2,0,1,2,1,11671620,1999,2010,1,0,0
0,6.9411900550683745,1.0,1.0,3,1,1,1,0,1,9256740,1993,2009,0,0,1
6,7.470224135899966,2.0,1.0,4,2,1,3,0,2,14915900,1974,2009,1,0,0
1,7.3914152346753585,1.0,1.0,4,1,1,2,2,5,13547790,2006,2013,0,1,0
2,6.9957661563048505,1.0,1.0,3,3,0,0,1,3,8213040,2009,2013,0,0,1
2,6.710523109452428,1.0,1.0,3,1,0,2,2,3,7304000,2006,2014,0,1,0
3,7.434847875211999,2.0,1.0,4,2,0,2,0,4,10390900,1997,2008,0,0,1
1,7.500529485395295,2.0,1.0,5,2,0,0,1,4,19206870,1984,2010,1,0,0
4,7.244941546337007,2.0,2.0,4,5,1,0,0,4,9965375,1997,2011,0,0,1
4,7.293017679772782,2.0,2.0,4,0,0,3,1,3,7207000,1986,2011,0,0,1
2,6.682108597449809,1.0,1.0,2,5,0,3,2,3,9070550,1976,2013,1,0,0
2,6.638567789166521,1.0,1.0,2,5,0,1,1,3,5670200,2000,2008,0,1,0
2,7.034387929915503,1.0,1.0,3,0,0,3,1,5,9253200,1985,2008,0,0,1
4,6.844815479208263,1.0,1.0,3,0,0,1,1,2,4294000,1971,2009,0,1,0
4,7.368970402194793,2.0,2.0,4,3,1,3,0,5,14316000,1981,2009,1,0,0
5,7.587310506022615,2.0,1.0,5,2,1,0,0,5,23307000,1972,2007,1,0,0
2,6.930494765951626,1.0,1.0,3,5,1,0,2,5,9735150,1990,2007,0,1,0
2,6.784457062637643,1.0,1.0,3,3,0,3,1,5,11336400,2006,2010,1,0,0
1,7.402451520818244,1.0,1.0,4,1,0,1,1,3,17701600,2005,2010,1,0,0
0,6.432940092739179,1.0,1.0,2,3,0,1,1,4,6572900,1987,2007,0,0,1
1,7.539027055823995,2.0,1.0,5,5,1,2,1,5,13423020,1993,2009,0,1,0
3,7.7886260656250315,4.0,2.0,6,0,0,2,2,5,13122040,2001,2010,0,0,1
5,7.407924322559599,1.0,1.0,4,1,0,0,0,3,18939100,1984,2009,1,0,0
6,7.455298485683291,2.0,1.0,4,5,1,3,2,0,12803570,1967,2008,1,0,0
5,7.571473648851271,2.0,1.0,5,2,0,2,0,3,12330740,1977,2014,0,1,0
2,6.566672429803241,1.0,1.0,2,1,1,2,1,4,8050270,2002,2014,0,0,1
2,6.785587645007929,1.0,1.0,3,2,0,1,1,5,7194600,1981,2013,0,1,0
3,7.431299675155903,2.0,1.0,4,0,1,3,0,5,11412700,1994,2009,0,1,0
0,7.119635638017636,2.0,2.0,4,2,0,1,0,0,12035355,1970,2007,1,0,0
4,6.8308742346461795,1.0,1.0,3,2,0,1,0,4,6877000,1991,2011,0,1,0
3,7.430114138561801,2.0,1.0,4,0,0,2,2,5,10346400,1985,2009,0,0,1
4,7.203405521083095,2.0,2.0,4,1,0,3,0,3,10809500,1959,2009,1,0,0
3,7.270312886079025,2.0,1.0,4,2,0,0,0,5,10200600,1989,2012,0,0,1
4,7.265429723253953,2.0,2.0,4,0,1,3,1,0,6635750,1999,2009,0,0,1
0,6.985641817639208,1.0,1.0,3,2,0,0,1,1,6190150,1978,2008,0,1,0
4,7.20934025660291,2.0,2.0,4,3,1,1,0,0,6507250,1983,2010,0,1,0
3,7.593877844605118,3.0,2.0,5,3,0,0,0,5,11350400,1979,2009,0,1,0
1,7.471932078245122,1.0,1.0,4,5,1,0,1,4,19285540,1966,2008,1,0,0
4,6.408528791059498,1.0,1.0,2,3,0,2,0,4,5856625,1964,2010,0,0,1
3,7.668093709082406,3.0,2.0,5,3,1,3,2,4,12472000,1987,2008,0,0,1
3,7.305188215393037,2.0,1.0,4,5,0,0,2,3,8441900,1983,2010,0,0,1
6,7.405495663199472,2.0,1.0,4,5,0,2,1,3,7579320,1980,2006,0,1,0
2,6.856461984594587,1.0,1.0,3,3,1,2,0,4,9759000,1983,2009,0,0,1
2,6.833031732786201,1.0,1.0,3,5,1,0,0,3,12423800,2010,2014,1,0,0
6,7.4342573821331355,2.0,1.0,4,3,1,3,2,5,15495760,1955,2008,1,0,0
6,7.5352967024440884,3.0,2.0,5,2,1,1,1,4,11022270,1986,2007,0,0,1
0,6.580639137284949,1.0,1.0,2,5,0,2,2,4,7605550,2000,2010,0,0,1
4,7.081708586105575,1.0,1.0,3,2,1,3,0,3,7967750,1982,2011,0,1,0
3,7.373374309910049,2.0,1.0,4,5,0,0,2,3,8946800,1994,2011,0,0,1
2,6.666956792429207,1.0,1.0,2,0,1,1,0,4,9244820,1998,2010,0,0,1
2,7.085901464365611,1.0,1.0,3,1,0,2,2,4,9821600,1992,2011,0,0,1
6,7.508787170634276,3.0,2.0,5,3,0,3,2,2,8549060,1976,2009,0,1,0
3,7.552762084214147,3.0,2.0,5,0,1,2,2,3,15852740,2001,2008,1,0,0
0,6.486160788944089,1.0,1.0,2,0,0,0,2,2,8757635,2001,2010,1,0,0
2,6.588926477533519,1.0,1.0,2,0,0,1,0,5,8415990,1991,2007,0,0,1
0,6.836259277277067,1.0,1.0,3,2,1,1,2,5,9935595,1977,2010,0,0,1
6,7.5485559791698735,3.0,2.0,5,1,1,1,1,5,16617860,1969,2007,1,0,0
1,7.437206366871292,1.0,1.0,4,2,0,2,0,5,12412050,1967,2007,0,1,0
5,7.563200592358071,2.0,1.0,5,1,1,3,1,5,22630540,1990,2007,1,0,0
4,7.300472814267799,2.0,2.0,4,5,1,0,2,0,9901500,1972,2010,1,0,0
1,7.317212408359839,1.0,1.0,4,2,0,1,1,5,10449910,1974,2007,0,1,0
2,6.927557906278317,1.0,1.0,3,2,0,2,1,5,7948600,1990,2014,0,1,0
2,6.790097235513905,1.0,1.0,3,0,0,1,0,5,9098680,1987,2008,0,0,1
2,6.922643891475888,1.0,1.0,3,2,1,0,2,3,8342850,1977,2012,0,1,0
5,7.427738840532894,1.0,1.0,4,0,0,0,0,3,18662350,1976,2011,1,0,0
2,6.767343125265392,1.0,1.0,3,2,0,3,1,5,8172630,1995,2013,0,0,1
4,7.275864600546533,2.0,2.0,4,2,0,2,1,2,5856500,1988,2012,0,1,0
1,7.5595594960077,2.0,1.0,5,5,1,2,0,5,14704160,2001,2014,0,1,0
0,7.1252830915107115,2.0,2.0,4,3,1,2,2,1,13360440,1975,2011,1,0,0
4,6.75343791859778,1.0,1.0,2,3,0,1,2,2,4928250,1993,2010,0,1,0
4,6.961296045910167,1.0,1.0,3,1,1,2,0,2,7315125,1962,2010,0,0,1
3,7.48324441607385,3.0,2.0,5,2,0,3,0,4,10998320,2003,2011,0,0,1
4,6.7464121285733745,1.0,1.0,2,1,0,1,2,0,3936375,1970,2011,0,0,1
2,6.928537818164665,1.0,1.0,3,5,1,3,1,4,9201770,2004,2008,0,0,1
3,7.697575346802343,3.0,2.0,5,0,1,3,2,4,17891240,1988,2010,1,0,0
4,6.418364935936212,1.0,1.0,2,2,0,3,1,2,5144500,1980,2010,1,0,0
0,6.6039438246004725,1.0,1.0,2,5,0,3,1,2,8312670,1989,2007,1,0,0
4,7.305860032684009,2.0,2.0,4,1,0,1,0,3,8007250,1982,2011,0,1,0
4,6.678342114654332,1.0,1.0,2,0,1,3,0,5,8479250,2000,2009,0,1,0
6,7.554334823725748,3.0,2.0,5,2,1,0,0,0,10129160,1979,2012,0,0,1
2,7.132497551660044,2.0,1.0,4,2,0,0,1,5,9482200,1999,2011,0,1,0
4,6.981934677156389,1.0,1.0,3,0,0,1,2,5,9846750,1978,2011,1,0,0
3,7.329093736246592,2.0,1.0,4,3,0,3,2,3,8675820,1981,2008,0,0,1
2,6.955592608396297,1.0,1.0,3,5,1,1,0,5,10262450,1997,2008,0,1,0
6,7.484368643286131,2.0,1.0,4,0,0,0,0,1,8671050,1953,2008,0,0,1
2,6.852242569051878,1.0,1.0,3,1,0,1,1,4,11165550,1991,2008,1,0,0
2,6.80903930604298,1.0,1.0,3,5,1,3,0,5,9464800,1976,2008,0,1,0
3,7.759614150696903,4.0,2.0,6,0,0,2,0,5,18849880,1986,2010,1,0,0
0,6.834108738813838,1.0,1.0,3,1,1,2,2,3,9480425,1994,2009,0,0,1
1,7.519149957669823,2.0,1.0,5,1,0,1,1,4,12264750,1994,2009,0,1,0
1,7.559038255443384,2.0,1.0,5,5,1,0,0,4,21875050,1974,2009,1,0,0
3,7.317876198626496,2.0,1.0,4,3,1,0,2,3,13538580,1989,2008,1,0,0
3,7.312553498102598,2.0,1.0,4,2,0,0,0,3,8876320,2005,2011,0,1,0
3,7.330405211844402,2.0,1.0,4,3,1,0,2,3,13645040,1990,2012,1,0,0
1,7.5256399750415355,2.0,1.0,5,0,1,3,2,3,20996200,1999,2009,1,0,0
4,7.394493107219038,2.0,2.0,4,3,1,1,2,3,9071125,1981,2011,0,0,1
6,7.520776415062797,3.0,2.0,5,0,0,0,0,5,10815830,1970,2009,0,1,0
3,7.610357618312838,3.0,2.0,5,0,1,3,2,5,12802500,1994,2010,0,0,1
4,7.363913501405819,2.0,2.0,4,3,1,0,0,2,9532500,1998,2011,0,0,1
6,7.484368643286131,2.0,1.0,4,2,1,2,1,1,13346700,1983,2008,1,0,0
4,6.495265555937008,1.0,1.0,2,5,0,2,1,1,4356500,1973,2011,1,0,0
2,6.912742820493176,1.0,1.0,3,2,0,3,0,4,12257100,1984,2010,1,0,0
4,6.732210706467206,1.0,1.0,2,5,0,2,2,1,4100500,1990,2010,0,1,0
1,7.437206366871292,1.0,1.0,4,5,0,0,1,5,11527430,1974,2008,0,1,0
0,6.777646593635117,1.0,1.0,3,5,1,3,2,0,6452785,1989,2008,0,1,0
2,6.727431724850855,1.0,1.0,3,5,1,1,2,5,8434750,1971,2008,0,1,0
2,6.814542897259958,1.0,1.0,3,5,1,1,1,3,7427820,1978,2011,0,0,1
6,7.493317248862145,2.0,1.0,4,1,1,1,1,3,9105350,1956,2006,0,1,0
4,6.911747300251674,1.0,1.0,3,1,0,1,1,1,4721500,1981,2009,0,0,1
1,7.434847875211999,1.0,1.0,4,3,0,2,2,4,12575010,1982,2009,0,0,1
4,7.126087273299125,1.0,1.0,3,0,1,0,0,2,7952750,1980,2011,0,0,1
4,6.376726947898627,1.0,1.0,2,5,0,0,2,4,5705500,1986,2010,0,0,1
3,7.758760544157663,4.0,2.0,6,1,1,3,2,4,12898740,2004,2011,0,1,0
6,7.51479976048867,3.0,2.0,5,3,0,0,2,4,10722580,1978,2007,0,0,1
1,7.589335823170617,2.0,1.0,5,5,1,0,0,4,14102960,1964,2007,0,1,0
3,7.581209826196346,3.0,2.0,5,0,1,2,0,5,17612900,1996,2011,1,0,0
6,7.324489979348532,2.0,1.0,4,3,1,3,1,0,7146890,1992,2004,0,1,0
3,7.786967002614872,4.0,2.0,6,5,1,2,0,4,13476480,1984,2009,0,0,1
6,7.530479995245536,3.0,2.0,5,5,0,1,0,3,15100560,1982,2005,1,0,0
6,7.404279118037268,2.0,1.0,4,2,1,0,2,5,15599020,1977,2008,1,0,0
0,6.922643891475888,1.0,1.0,3,2,1,3,1,1,11224620,2004,2012,1,0,0
1,7.438383530044307,1.0,1.0,4,3,1,3,1,3,12477040,1977,2009,0,0,1
4,6.436150368369428,1.0,1.0,2,2,0,1,1,1,4396250,1979,2010,1,0,0
2,6.887552571664617,1.0,1.0,3,3,0,3,2,4,11900750,1991,2008,1,0,0
4,6.910750787961936,1.0,1.0,3,0,1,2,0,3,10090000,1990,2010,1,0,0
0,6.977281341630747,1.0,1.0,3,2,1,2,1,0,6607690,2003,2009,0,1,0
4,6.694562058521095,1.0,1.0,2,1,0,2,0,1,4752250,1975,2010,0,1,0
2,6.934397209928558,1.0,1.0,3,3,0,1,2,3,7441350,1990,2011,0,1,0
4,6.54534966033442,1.0,1.0,2,3,0,2,0,4,6441250,1999,2010,0,1,0
6,7.447751280047908,2.0,1.0,4,2,1,1,2,4,10359860,2002,2010,0,1,0
6,7.537962659768208,3.0,2.0,5,2,0,0,2,1,14328720,2005,2011,1,0,0
3,7.4377951216719325,2.0,1.0,4,3,1,2,0,4,11444100,1995,2011,0,0,1
3,7.3938782901077555,2.0,1.0,4,0,0,0,2,5,9680280,1988,2012,0,1,0
3,7.455876687491824,2.0,1.0,4,3,0,3,0,4,14739360,1990,2008,1,0,0
2,6.903747257584598,1.0,1.0,3,2,0,1,0,4,8939620,1985,2007,0,0,1
2,7.152268856032539,2.0,1.0,4,1,1,0,1,5,15710400,1998,2014,1,0,0
2,6.80903930604298,1.0,1.0,3,3,0,2,2,3,10226600,1981,2013,1,0,0
1,7.588829878307813,2.0,1.0,5,5,0,2,2,4,12300050,1972,2011,0,1,0
6,7.4821189235521155,2.0,1.0,4,3,1,2,2,3,9989170,1989,2010,0,1,0
4,7.2456550675945355,2.0,2.0,4,3,0,2,0,2,6966500,1981,2011,0,1,0
2,7.05617528410041,1.0,1.0,3,1,1,0,1,3,9463900,1978,2008,0,0,1
6,7.579167967396076,3.0,2.0,5,3,1,1,1,2,15199450,1981,2006,1,0,0
5,7.54274354536855,2.0,1.0,5,1,0,3,1,4,20499450,1992,2012,1,0,0
6,7.527793987721444,3.0,2.0,5,3,1,1,2,3,9925210,1960,2008,0,1,0
2,6.616065185132817,1.0,1.0,2,2,1,0,1,5,11223550,2001,2006,1,0,0
0,6.892641641172089,1.0,1.0,3,5,1,2,2,1,7379505,2002,2009,0,1,0
2,6.931471805599453,1.0,1.0,3,3,1,0,1,3,12091400,1996,2012,1,0,0
6,7.3777589082278725,2.0,1.0,4,2,1,1,2,4,10530200,1984,2009,0,0,1
2,7.151485463904735,2.0,1.0,4,3,0,2,2,4,9604120,1977,2013,0,0,1
2,7.055312843339752,1.0,1.0,3,2,1,1,0,3,9062800,1974,2010,0,1,0
4,6.931471805599453,1.0,1.0,3,0,1,2,1,1,4748500,1962,2012,0,1,0
0,7.130098510125578,2.0,2.0,4,1,0,3,2,0,12642285,1991,2010,1,0,0
2,6.732210706467206,1.0,1.0,3,3,1,0,0,3,9107430,1994,2010,0,0,1
2,7.1592919047975645,2.0,1.0,4,0,0,0,1,5,9153300,1973,2007,0,1,0
3,7.810758116529357,4.0,2.0,6,1,0,0,0,4,12650920,1995,2011,0,1,0
4,6.481577129276431,1.0,1.0,2,1,0,1,1,5,7635250,1995,2010,1,0,0
4,6.406879986069314,1.0,1.0,2,2,1,2,0,5,7854000,1993,2010,0,0,1
5,7.515889085215125,2.0,1.0,5,1,1,1,1,4,13197230,1978,2007,0,1,0
6,7.539027055823995,3.0,2.0,5,2,1,2,1,1,13669670,1965,2011,1,0,0
3,7.691200097522863,3.0,2.0,5,1,1,0,0,3,18249860,1988,2011,1,0,0
6,7.52456122628536,3.0,2.0,5,1,1,3,2,1,14707330,1958,2007,1,0,0
2,6.963189985870238,1.0,1.0,3,3,0,0,2,4,9144840,1997,2014,0,0,1
0,6.583409222158765,1.0,1.0,2,2,0,1,0,5,10969920,1979,2007,1,0,0
5,7.502186486602924,2.0,1.0,5,2,0,1,1,4,12248640,1966,2010,0,0,1
5,7.488852955733459,1.0,1.0,4,1,1,1,1,4,14225180,1991,2008,0,0,1
6,7.387090235656757,2.0,1.0,4,0,0,1,2,2,8019280,1985,2004,0,1,0
1,7.470224135899966,1.0,1.0,4,1,0,3,1,4,11410310,1971,2014,0,1,0
0,7.16703787691222,2.0,2.0,4,2,0,0,1,5,9950600,1988,2008,0,1,0
3,7.348587530927593,2.0,1.0,4,0,1,2,2,4,9980320,2004,2010,0,1,0
1,7.459914766241105,1.0,1.0,4,1,1,0,0,4,14292780,2005,2014,0,1,0
4,6.665683717782408,1.0,1.0,2,2,1,0,1,2,5752875,1997,2009,0,0,1
4,7.425357887027151,2.0,2.0,4,5,1,2,0,1,11883250,1976,2011,1,0,0
3,7.7664168980196555,4.0,2.0,6,3,1,3,2,5,19816180,2002,2011,1,0,0
3,7.288927694521257,2.0,1.0,4,2,1,3,2,3,9394640,1982,2010,0,0,1
3,7.397561535524052,2.0,1.0,4,5,1,0,0,3,10506420,1992,2011,0,0,1
6,7.470224135899966,2.0,1.0,4,0,1,1,1,1,8762820,1980,2006,0,0,1
6,7.349873704738337,2.0,1.0,4,5,0,2,2,4,9348100,1989,2009,0,0,1
0,7.064759027791802,1.0,1.0,3,1,0,2,0,3,9134740,1975,2011,0,1,0
0,6.803505257608338,1.0,1.0,3,5,0,0,0,2,7643255,1969,2006,0,0,1
4,7.05617528410041,1.0,1.0,3,5,1,2,0,0,8886250,1990,2009,1,0,0
4,7.358830898342354,2.0,2.0,4,2,1,3,1,0,6407000,2002,2010,0,1,0
4,7.297091005160418,2.0,2.0,4,0,0,3,2,4,11536000,1979,2011,1,0,0
4,6.373319789577012,1.0,1.0,2,2,1,1,2,2,5333000,1993,2012,0,0,1
4,6.9650803456014065,1.0,1.0,3,3,1,0,2,4,7849250,1977,2010,0,1,0
5,7.445417556701687,1.0,1.0,4,0,1,3,0,4,13797720,2005,2011,0,1,0
0,6.741700694652055,1.0,1.0,3,5,0,2,0,3,7492300,1968,2007,0,0,1
4,7.083387847625295,1.0,1.0,3,2,0,3,1,2,5342250,1988,2011,0,1,0
